RefId,Title,Component Dates,Component Access Restricton,Component Notes,Ancestor,Ancestor Access Restriction,Ancestor Notes,Parent Collection,Finding Aid Title,Resource ID,Resource Dates,Resource Access Restriction,Resource Use Restriction
8214e8482ccc4f9fa7de4f47a547efae,"Ford Foundation records, Latin America and the Caribbean Program Files on the 1973 Coup d'Etat in Chile",1971,,"Includes ‘Santiago [Chile] Office Report on Fiscal Year 1971’ by Peter Bell, and a list of Chile office graduate fellowships for FY 1971.",,,,Ford Foundation records,Latin America and the Caribbean Program Files on the 1973 Coup d'Etat in Chil,FA721,1978,Records more than 10 years old are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC.,"Completion of a use agreement is required prior to providing scholarly access. See RAC Head of Reference (or applicable designee) for details.   Ford Foundation holds title, copyright and literary rights in the collection, in so far as it holds them.  The Rockefeller Archive Center has authority to grant permission to cite and publish material from the collection for scholarly purposes. Permission to publish extensive excerpts, or material in its entirety, will be referred to the Ford Foundation."
fffca0996b0d441dae2f530b61ee3a8c,"Children's Hospital Medical Center - Child Development Unit - Administration - T. Benny Brazelton, M.D.  (78-0376-72)",1981,,,Grant files (subseries),,,William T. Grant Foundation records,,FA004,1999,"Records more than 10 years old are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","To the extent that the donor owns the copyright in these materials, the William T. Grant foundation has assigned the copyright in them to the Rockefeller Archive Center; however, copyright in some items may be held by their respective creators. Please consult an Archivist for further details."
ff7101c93b72422e9fce9fad494e6d73,"Eto, Jun (Japan)",1979,,,Humanities Fellows (otherlevel),,,Rockefeller Foundation records,"wships, fellowship recorder cards, SG 10.2",FA426,1979,The fellowship recorder cards are open for research.,
ff5c8ca7f63817300e783d5d6330f965,Chile Rural Education Project of the RBF,1964,,,,,,Rockefeller Family Public Relations Department papers,Series 13,FA1193,1989,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
ff177e8595324a2bab395be75d54a206,"Ariyoshi, Sawako",1961,,Theatre and Literature  ,"Fellowships, scholarships, training awards (subseries)",,,Rockefeller Foundation records,"wships, fellowship files, SG 10.1",FA244,1979,Records more than 20 years old are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC.  All users seeking access to the fellowship files must complete a usage agreement prior to being granted access to the collection. See RAC Head of Reference for details.,
fedef38340c8417fac04aa5ce3f647f6,"Yoo, Chi-Jin",1957,,"Speech, Drama and Motion Pictures  ","Fellowships, scholarships, training awards (subseries)",,,Rockefeller Foundation records,"wships, fellowship files, SG 10.1",FA244,1979,Records more than 20 years old are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC.  All users seeking access to the fellowship files must complete a usage agreement prior to being granted access to the collection. See RAC Head of Reference for details.,
feda03940aed4ba38352a42fefac89d4,"Ngu, Victor Anomah",1965,,"Cancer Research, Chemotherapy with a Surgical Bias  ","Fellowships, scholarships, training awards (subseries)",,,Rockefeller Foundation records,"wships, fellowship files, SG 10.1",FA244,1979,Records more than 20 years old are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC.  All users seeking access to the fellowship files must complete a usage agreement prior to being granted access to the collection. See RAC Head of Reference for details.,
fea70e2ddc1f4635b9ade1e769492420,Eastern Educational Network,1967,,,Alphabetical (subseries),,,Ford Foundation records,"Office of Communications, Advisor on Communications, Office Files of Fred W. Friendly",FA616,1980,"Records more than 10 years old are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC.   Completion of a use agreement is required prior to providing scholarly access. See RAC Head of Reference (or applicable designee) for details.   Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","Ford Foundation holds title, copyright and literary rights in the collection, in so far as it holds them. The Rockefeller Archive Center has authority to grant permission to cite and publish material from the collection for scholarly purposes. Permission to publish extensive excerpts, or material in its entirety, will be referred to the Ford Foundation. "
fe7c3868ae604800a156213b351ea78e,Library of Congress/Coordinator of Information/Office of Strategic Services,1946,,,Professional papers (series),,"Folders in Series 2 document Burton’s varied career as an academic, a diplomat, and a foundation officer.  There is minimal documentation for his tenure at Pomona College, the Office of Strategic Services and later Department of State, Muhlenberg College, and Grolier, Inc.  More detailed information exists for his five years at Miami University, and extensive documentation is included for his career at the Rockefeller Foundation and the Embassy of the United States in Tokyo, Japan.    The Rockefeller Foundation diaries are an incomplete set and are draft versions of the final diaries filed with the Rockefeller Foundation and found in their archives.  The drafts do not appear to differ significantly from the final versions.  Of interest in this series is Fahs’s report to John Marshall chronicling his train trip from Paris to Kyoto in 1934 (Box 6, Folder 85).  The many reports and memoranda written by Fahs while at the Rockefeller Foundation and at Miami University offer his opinions on education, international study, and cultural exchange and evaluations of proposed changes to study abroad programs and support of universities in developing nations.  The invitations and related materials from his time at the Embassy in Japan are also important items from his diplomatic career.  Researchers interested in the early career of Charles Burton Fahs should also explore the correspondence files in Series 1 dated from this period; during his early career, there was an overlap between Fahs’s personal and professional life.  Series 4, Manuscripts, Publications, and Speeches contains the many articles and book reviews written by Fahs during his time at Pomona College, as well as other articles and speeches made throughout his career. ",Charles Burton Fahs papers,,FA099,1993,Open for research with select materials restricted are noted. Brittle or damaged items are available at the discretion of RAC.,
fdff0733249a4de9af1b058e19ec9090,Korean Language Society - Korean Dictionary,1959,,,Korea - Humanities and Arts (subseries),,,Rockefeller Foundation records,"projects, SG 1.2, Series 300 Latin America - Series 833 Leb",FA387b,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary.   Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
fdad7ad1500d49fdabb57267324aeeff,Kenneth Wernimont,1967,,"RF Agriculture Program. Interviewed by William C. Cobb, March 22, 1967-May 8, 1967. New York.   | Wernimont was born in 1909 and died in 1991.  ",Rockefeller Foundation Program in Agriculture (otherlevel),,,Rockefeller Foundation records,"histories, RG 13",FA119,1974,"Officers' oral histories are open for research subject to any written conditions on access established by the subject of the oral history or his/her designated representative. Please see RAC Head of Reference for details. If no written guidelines exist, an oral history is available for research provided that (1) the subject of the oral history is deceased, and the date of the volume to be examined is prior to 1995.  All reasonable efforts will be made to determine the fate of the subject of the oral history(s), but if such efforts are fruitless then the material will remain closed until the 100th anniversary of the officer's birth.",
fd40b8621f0946e9b4439c8ad663dfca,Foreign Colleges - Cité Universitaire (University of Paris) - Senator Honnorat,1953,,,Foreign Colleges - Cité Universitaire (University of Paris) - Senator Honnorat (file),,"Senator sent Christmas gift to John D. Rockefeller, Jr. Friendly relations between Senator and John D. Rockefeller, Jr. No problems of Cité in this material.  ",Office of the Messrs. Rockefeller records,"Educational Interests, Series G",FA316,1961,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Material in the Rockefeller family collections that provides the names, correspondence, or activities of living members of the Rockefeller family, and/or documents the net wealth of any Rockefeller family members, is restricted. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","RAC users must abide by all applicable provisions of United States copyright law. Reproduction/duplication of archival items is routinely provided in accordance with ""fair use."" If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication.  "
fd34a7b02b414f0fb42dea87c5d89014,"Lancaster, South Carolina - Hospital Proper - Correspondence and Memoranda",1948,,,Project Files (subseries),,,Commonwealth Fund records,"Division of Rural Hospitals, SG 1, Series 14",FA286,1951,Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. ,"RAC users must abide by all applicable provisions of United States copyright law. Reproduction/duplication of archival items is routinely provided in accordance with ""fair use."" If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication.  "
fd14019de9344d26a77162cf54ec62b7,Massachusetts Department of Mental Diseases,1957,,,United States - Medical Sciences (subseries),,"Most of the files in this section date from the 1930's and 40's. The Foundation's program in the medical sciences during this period was directed by Dr. Alan Gregg and was concentrated in psychiatry and neurology and related subjects - neuroanatomy, heredity, endocrinology, neuropathology, child guidance, industrial psychology and sex research. Emphasis was placed on worker training, selected research projects and measures to improve or extend the application of existing knowledge. The medical sciences program also devoted part of its resources to the development of university teaching departments of public health. The program was conceived to be complementary to the natural sciences program in human biology. Although it developed out of the old Division of Medical Education of the Foundation, the Medical Sciences division had no program in medical education in the United States, except for a small program of post-war medical fellowship grants to leading universities. | For information about the establishment of medical schools see the files of the General Education Board. Consult also the state inventories.",Rockefeller Foundation records,"projects, SG 1.1, Series 100 International - Series 257 Virgin Islands, U.S.A.",FA386a,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact a RAC archivist.",
